iter	RMSE
0	3.005677405
1	2.979705745
2	2.954646921
3	2.930675963
4	2.906531981
5	2.886398092
6	2.865090991
7	2.84565162
8	2.827304098
9	2.806970872
10	2.790179923
11	2.773116988
12	2.756172568
13	2.740184495
14	2.72589098
15	2.711757793
16	2.698141542
17	2.685227315
18	2.6727552
19	2.662776918
20	2.651470057
21	2.637359315
22	2.627074984
23	2.616201615
24	2.604049167
25	2.592965009
26	2.581998228
27	2.575113882
28	2.566331517
29	2.559891304
30	2.552194348
31	2.54359511
32	2.537057015
33	2.532459026
34	2.5273531
35	2.521030313
36	2.515148892
37	2.509981755
38	2.504249569
39	2.499889173
40	2.494546293
41	2.490212616
42	2.484234114
43	2.478941738
44	2.474889164
45	2.469375056
46	2.464039774
47	2.459720267
48	2.456854224
49	2.453499029
50	2.448117389
51	2.444371297
52	2.439415631
53	2.435947392
54	2.431103423
55	2.428552847
56	2.425757277
57	2.422152421
58	2.419299096
59	2.416010212
60	2.41256098
61	2.40966397
62	2.406743769
63	2.40421217
64	2.402148581
65	2.398791704
66	2.395941747
67	2.393725532
68	2.391488419
69	2.389275053
70	2.387064509
71	2.385083249
72	2.382069157
73	2.380194858
74	2.377094791
75	2.374968857
76	2.373055911
77	2.370082344
78	2.368244159
79	2.366348538
80	2.364911211
81	2.363745414
82	2.362486605
83	2.36128864
84	2.358514151
85	2.357223072
86	2.355971597
87	2.353736048
88	2.352805665
89	2.351570152
90	2.349429978
91	2.34731013
92	2.346382446
93	2.345193188
94	2.344097687
95	2.343030253
96	2.341241157
97	2.340292187
98	2.338162464
99	2.337059408
100	2.335083355
101	2.33406367
102	2.332790342
103	2.331830115
104	2.330085514
105	2.329337365
106	2.328213815
107	2.326975903
108	2.325801697
109	2.324569023
110	2.323642046
111	2.322648404
112	2.32126719
113	2.32055493
114	2.319947836
115	2.319197949
116	2.317822845
117	2.317219139
118	2.316414141
119	2.315670319
120	2.314999218
121	2.314006784
122	2.312967796
123	2.312193893
124	2.311623341
125	2.310546021
126	2.309452018
127	2.308649656
128	2.30780638
129	2.307212722
130	2.305935145
131	2.305142281
132	2.304107316
133	2.303185001
134	2.302352504
135	2.30166151
136	2.300634185
137	2.299602909
138	2.298729044
139	2.298250995
140	2.297971197
141	2.297103848
142	2.295584286
143	2.294651258
144	2.293916513
145	2.293231259
146	2.29269689
147	2.291857466
148	2.291466482
149	2.290416406
150	2.290016631
151	2.289442456
152	2.289110839
153	2.288577103
154	2.288137656
155	2.287793344
156	2.287025665
157	2.286303737
158	2.285961486
159	2.284874039
160	2.284150811
161	2.283607146
162	2.283352967
163	2.282721236
164	2.282143137
165	2.281530491
166	2.280884519
167	2.280760477
168	2.280403526
169	2.280107869
170	2.279777067
171	2.278978474
172	2.278589034
173	2.278330898
174	2.277936491
175	2.277327362
176	2.276668927
177	2.275837216
178	2.275305752
179	2.274245309
180	2.273497898
181	2.273004398
182	2.272554628
183	2.272072803
184	2.271759567
185	2.27103217
186	2.270785127
187	2.270686185
188	2.270288205
189	2.269601678
190	2.268715999
191	2.268268269
192	2.267763288
193	2.266863332
194	2.266521171
195	2.266238466
196	2.265995258
197	2.26575717
198	2.264946528
199	2.264710267
200	2.264390651
201	2.26360656
202	2.263106135
203	2.262600962
204	2.262166337
205	2.261662098
206	2.26116027
207	2.260396365
208	2.260147157
209	2.259912212
210	2.259231711
211	2.258542257
212	2.257832847
213	2.257225942
214	2.256832077
215	2.256072755
216	2.255539328
217	2.255257958
218	2.254964798
219	2.254455548
220	2.254117121
221	2.254030268
222	2.253500255
223	2.25323919
224	2.252431584
225	2.251965001
226	2.251410724
227	2.250941625
228	2.250507024
229	2.249992081
230	2.249621043
231	2.249099433
232	2.248749367
233	2.248272023
234	2.247750947
235	2.246999547
236	2.246834829
237	2.246505462
238	2.246142638
239	2.245766693
240	2.245379974
241	2.24487333
242	2.244565618
243	2.244221822
244	2.243953805
245	2.243462259
246	2.242703089
247	2.242644814
248	2.242277492
249	2.241839721
250	2.241379553
251	2.24089114
252	2.240563895
253	2.240297814
254	2.239906252
255	2.2396644
256	2.239242533
257	2.239017051
258	2.238704642
