iter	Passed	Remaining
0	97	38790
1	149	29755
2	199	26375
3	248	24601
4	299	23639
5	365	24027
6	427	24010
7	487	23879
8	534	23211
9	586	22870
10	637	22543
11	686	22200
12	735	21901
13	780	21528
14	829	21295
15	881	21148
16	930	20966
17	979	20786
18	1065	21362
19	1148	21824
20	1203	21720
21	1248	21445
22	1304	21382
23	1355	21240
24	1404	21061
25	1452	20889
26	1500	20733
27	1551	20618
28	1598	20445
29	1647	20322
30	1697	20202
31	1746	20080
32	1798	19997
33	1825	19649
34	1867	19470
35	1931	19529
36	1992	19544
37	2042	19459
38	2090	19352
39	2139	19255
40	2189	19167
41	2235	19057
42	2285	18977
43	2343	18961
44	2412	19034
45	2481	19099
46	2560	19233
47	2636	19331
48	2710	19417
49	2787	19509
50	2869	19638
51	2943	19701
52	3024	19798
53	3098	19854
54	3174	19913
55	3250	19966
56	3335	20069
57	3419	20165
58	3500	20229
59	3581	20293
60	3673	20417
61	3754	20466
62	3830	20490
63	3902	20488
64	3970	20462
65	4037	20433
66	4101	20385
67	4165	20339
68	4221	20249
69	4278	20170
70	4329	20060
71	4378	19947
72	4427	19833
73	4479	19734
74	4525	19609
75	4580	19528
76	4631	19430
77	4680	19323
78	4729	19218
79	4773	19094
80	4822	18994
81	4872	18896
82	4919	18788
83	4964	18676
84	5015	18587
85	5065	18495
86	5115	18402
87	5167	18320
88	5216	18227
89	5267	18142
90	5319	18063
91	5365	17963
92	5415	17876
93	5466	17795
94	5512	17699
95	5559	17604
96	5605	17511
97	5656	17430
98	5701	17335
99	5745	17237
100	5784	17124
101	5833	17043
102	5880	16956
103	5922	16857
104	5971	16777
105	6020	16698
106	6067	16615
107	6111	16524
108	6159	16443
109	6205	16360
110	6255	16287
111	6299	16197
112	6346	16118
113	6394	16041
114	6441	15962
115	6478	15862
116	6525	15784
117	6573	15709
118	6618	15629
119	6665	15553
120	6710	15473
121	6757	15398
122	6808	15333
123	6851	15249
124	6891	15161
125	6940	15092
126	6990	15027
127	7040	14960
128	7085	14884
129	7131	14812
130	7176	14736
131	7224	14667
132	7328	14712
133	7479	14847
134	7544	14809
135	7584	14722
136	7626	14640
137	7678	14577
138	7742	14537
139	7805	14496
140	7844	14409
141	7927	14403
142	8082	14525
143	8162	14511
144	8247	14504
145	8351	14529
146	8481	14597
147	8664	14753
148	8743	14729
149	8824	14707
150	8925	14718
151	9042	14753
152	9158	14784
153	9247	14771
154	9314	14723
155	9384	14678
156	9438	14608
157	9526	14591
158	9598	14548
159	9660	14490
160	9729	14442
161	9790	14383
162	9853	14326
163	9922	14279
164	9983	14218
165	10035	14146
166	10122	14123
167	10149	14015
168	10228	13980
169	10302	13938
170	10376	13896
171	10454	13857
172	10525	13811
173	10598	13765
174	10673	13722
175	10736	13664
176	10776	13576
177	10814	13488
178	10854	13401
179	10903	13326
180	10948	13246
181	10989	13163
182	11036	13086
183	11082	13009
184	11124	12928
185	11174	12856
186	11219	12779
187	11235	12669
188	11325	12644
189	11404	12604
190	11457	12536
191	11505	12463
192	11554	12392
193	11602	12320
194	11649	12246
195	11695	12172
196	11746	12104
197	11795	12033
198	11847	11966
199	11892	11892
200	11938	11819
201	11986	11749
202	12100	11742
203	12150	11674
204	12193	11599
205	12232	11519
206	12271	11441
207	12325	11377
208	12373	11307
209	12470	11282
210	12555	11246
211	12607	11180
212	12652	11108
213	12703	11041
214	12753	10974
